"","iSensor","effect","AveExpr","t","p_value","p_adj","B","neglog10_fdr","n_experiments","frac_positive","sd_delta","median_delta"
"1","AT-aux-cistrans-DR5-ARF3-up",0.0861061568661345,1.14764573483087,34.5755079749428,6.91256112274739e-64,4.90791839715065e-62,134.374236005199,61.3091026668011,11,1,0.0282183224843352,0.0892711537097028
"2","AT-aux-trans-IAA",0.133247709121839,1.13772412661129,31.3766458461617,2.2998560094978e-59,8.16448883371719e-58,123.887948371272,57.0880710005961,11,0.909090909090909,0.0516035951096189,0.140487725575712
"3","Response4",0.0805290715369951,1.06639213550433,30.2295336572371,1.18209328623974e-57,2.79762077743405e-56,119.920722966343,55.5532111552586,11,0.909090909090909,0.0319039986443193,0.084208826645966
"4","AT-aux-cistrans-IR8-ARF3-up",0.101886807151154,1.03780919957808,29.9844221300355,2.78454741952556e-57,4.94257166965787e-56,119.057947723722,55.3060470244905,11,0.909090909090909,0.0395046934011445,0.109554761040374
"5","Response2",0.164253486203413,1.13313207634752,29.9083822809523,3.63635198611076e-57,5.16361982027729e-56,118.789192581583,55.2870457408506,11,0.909090909090909,0.0653392580009304,0.169412611529761
"6","Response3",0.0837523078430911,1.13956728703564,29.5137730327593,1.46500902645667e-56,1.73359401464039e-55,117.386036390705,54.761052601119,11,0.909090909090909,0.0351443084794928,0.0877640605972709
"7","Response1",0.191057064801122,1.29986519646308,29.4315425028298,1.9621232880604e-56,1.99015362074698e-55,117.091842666274,54.7011133989332,11,0.909090909090909,0.080195891801336,0.200389286407509
"8","AT-aux-cistrans-IR8-ARF5-1-up",0.0782307223500058,1.07006887513968,29.0175615529104,8.62264656302229e-56,7.65259882468228e-55,115.601224076276,54.116191053271,11,0.909090909090909,0.0353020079727918,0.0829741515267042
"9","AT-aux-cistrans-IR8-ARF5-2-up",0.129678710803345,1.05376703986987,27.9646770947579,4.00326306206168e-54,3.15812974895977e-53,111.736931494812,52.5005700313576,11,0.909090909090909,0.0570000110129799,0.133405574211758
"10","AT-aux-cistrans-DR5-TGTCNN-up",0.0713946874017927,1.05869825642227,26.7650519149303,3.62137174980729e-52,2.57117394236317e-51,107.20138991705,50.5898685419284,11,0.909090909090909,0.0312881572915181,0.0752355016461219
"11","AT-aux-cistrans-IR8-TGTCNN-up",0.0746473099714224,1.08639809558751,26.6111448159038,6.52298560095557e-52,4.21029070607132e-51,106.608941607979,50.375687916591,11,0.909090909090909,0.035408726279536,0.0809537791418258
"12","AT-aux-trans-ConjugationDeconjugation",0.0623425666598134,1.19223591877352,25.8852959940147,1.08181500932457e-50,6.33367696944238e-50,103.781631806771,49.1983440903115,11,1,0.0212049482441536,0.0688449217715144
"13","AT-aux-cistrans-IR8-ARF2-up",0.0764377238799544,1.08955533324694,25.8675104828733,1.15968733243311e-50,6.33367696944238e-50,103.711657882045,49.1983440903115,11,0.909090909090909,0.0374197208787084,0.0789065352804625
"14","AT-aux-cistrans-IR8-ARF5syn-up",0.0597166979276838,1.07117345091776,24.6117459855247,1.71063921682707e-48,8.67538459962299e-48,98.6847846173281,47.0617112628435,11,0.909090909090909,0.0313300392042674,0.0607990947350123
"15","AT-aux-cis-IR8-ARF5-1",0.00516603373033025,1.03322856162474,23.6472648508984,8.91892916305296e-47,4.22162647051174e-46,94.705273637257,45.374520195702,11,1,0.00145425127136318,0.00536075525713131
"16","AT-aux-cistrans-DR5-ARF6-up",0.0511544457849284,1.12899272045589,23.3651267586188,2.89281522093212e-46,1.20817576874224e-45,93.5211047766348,44.9178698787597,11,0.909090909090909,0.0269423261830741,0.0508982129974533
"17","AT-aux-cistrans-DR5-ARF8-up",0.0511544457849284,1.12899272045589,23.3651267586188,2.89281522093212e-46,1.20817576874224e-45,93.5211047766348,44.9178698787597,11,0.909090909090909,0.0269423261830741,0.0508982129974533
"18","AT-aux-cis-IR8-ARF5-2",0.010964955836443,1.02508522960757,23.2455016468549,4.77739461631988e-46,1.88441676532617e-45,93.0162431641052,44.7248230405746,11,1,0.00433108359295408,0.0102899321033838
"19","AT-aux-cistrans-DR5-ARF5-1-up",0.0469666872386577,1.06626983065085,21.463306195853,1.02800759993392e-42,3.84150208396361e-42,85.294405103732,41.4154989268769,11,0.909090909090909,0.0257062597541052,0.0481268229859666
"20","AT-aux-cistrans-DR5-ARF5-2-up",0.0623899659867005,1.07511383593081,21.1817438513622,3.57884278972037e-42,1.27048919035073e-41,84.0394414303541,40.8960290256872,11,0.909090909090909,0.0364320104813391,0.0650582393261423
"21","AT-aux-cistrans-DR5-ARF1-up",0.0567415251092681,1.09920902318143,20.5119643598379,7.23597918153673e-41,2.44645010423385e-40,81.0149211208427,39.6114636373236,11,0.909090909090909,0.0314978194801104,0.0689847803233437
"22","AT-aux-cis-DR5-TGTCNN",0.00633162225867391,1.01843808793701,20.4364793147257,1.01899827807364e-40,3.28858535196491e-40,80.6705687680998,39.4829908819767,11,1,0.0023860012016299,0.00498775816436026
"23","AT-aux-cistrans-IR8-ARF6-up",0.0494962492403701,1.12101225221042,18.9961871068861,8.02586506137115e-38,2.37431841398897e-37,73.9635175612675,36.6244610393134,11,0.909090909090909,0.0315245982280885,0.0506989638953017
"24","AT-aux-cistrans-IR8-ARF8-up",0.0494962492403701,1.12101225221042,18.9961871068861,8.02586506137115e-38,2.37431841398897e-37,73.9635175612675,36.6244610393134,11,0.909090909090909,0.0315245982280885,0.0506989638953017
"25","AT-aux-cistrans-DR5-ARF5syn-up",0.0408969081184146,1.09251119574444,17.9578001621103,1.15680836139776e-35,3.28533574636963e-35,68.9660642426474,34.4834202409156,11,0.909090909090909,0.0273374754757121,0.0377123267004016
"26","AT-aux-cis-DR5-TGTCGG",0.0197755496325676,0.988316911852561,16.6612460283102,6.9423293262563e-33,1.89578993140076e-32,62.5370302461504,31.7222097876139,11,0.909090909090909,0.00901559485623217,0.0214947933540293
"27","AT-aux-cis-IR8-ARF3",0.00782862107670356,1.01986013515574,16.4341378431891,2.17498128051019e-32,5.71939521911938e-32,61.3897021728681,31.2426498919911,11,0.909090909090909,0.00467811266411012,0.00844120034104745
"28","AT-aux-cistrans-IR8-ARF1-up",0.0506046283566617,1.01913643678263,16.370951735882,2.9917389178111e-32,7.586195113021e-32,61.0693903838439,31.1199759916598,11,1,0.0216693368903964,0.0482775359624051
"29","AT-aux-cis-IR8-ARF5syn",0.00230078999883374,1.01953894607071,15.6291509700808,1.30933792157121e-30,3.20562042867433e-30,57.2737346044969,29.4940879029087,11,0.909090909090909,0.000773359747511267,0.00230303789125186
"30","AT-aux-trans-PolarAuxinTransport",0.0524493269228637,1.12494687525637,15.0778457489865,2.26339018107601e-29,5.35669009521322e-29,54.4120285625245,28.2711034784791,11,0.818181818181818,0.0429762637664971,0.0693517408627302
"31","AT-aux-cistrans-DR5-ARF2-up",0.0397090614820738,1.09707605222652,14.8572004802394,7.14926472897185e-29,1.63741224437742e-28,53.2573697906772,27.7858419663309,11,0.909090909090909,0.0319951098971318,0.0367258850601362
"32","AT-aux-trans-ARF",0.027810433952151,0.995060144397384,14.8384340688803,7.88590979855745e-29,1.74968623655493e-28,53.1589236088333,27.757039824428,11,0.909090909090909,0.0146228365403456,0.0274104300523237
"33","AT-aux-cis-DR5-ARF3",0.00523281540169826,1.01764624611495,14.2472192710892,1.76566426399082e-27,3.7988534164651e-27,50.0388935975898,26.4203474639205,11,1,0.002562129712768,0.00497507156800081
"34","AT-aux-trans-Transport",0.0306215579390578,1.13788951075036,14.1817935340863,2.49614448986551e-27,5.21253702295444e-27,49.6914743493422,26.2829508473548,11,0.909090909090909,0.0243421561797889,0.0377804032622411
"35","AT-aux-cistrans-IR8-ARF2-down",-0.0378685448487405,1.17600440919259,-14.0606340169285,4.74466669008915e-27,9.62489528560941e-27,49.04701655183,26.016603986716,11,0.0909090909090909,0.0306210494201727,-0.0349082753564671
"36","AT-aux-cistrans-IR8-ARF5syn-down",-0.0287723537609635,1.10661274557198,-13.924946075201,9.75724442721048e-27,1.92434542869985e-26,48.3236394954119,25.7157169674786,11,0.0909090909090909,0.022262114570586,-0.0263780901878461
"37","AT-aux-cistrans-IR8-ARF6-down",-0.0297335494795489,1.12137794667785,-13.7656183005029,2.28020150692315e-26,4.26037649977746e-26,47.4720772198005,25.3705520195474,11,0.181818181818182,0.0219496992556309,-0.0264573467824964
"38","AT-aux-cistrans-IR8-ARF8-down",-0.0297335494795489,1.12137794667785,-13.7656183005029,2.28020150692315e-26,4.26037649977746e-26,47.4720772198005,25.3705520195474,11,0.181818181818182,0.0219496992556309,-0.0264573467824964
